1	1
2	3
2	4
3	5
3	6
4	7
5	9
5	10
6	12
7	15
8	2
9	8
10	11
11	16
12	1
13	3
14	7
15	10
15	14
16	13
17	4
18	5
18	6
19	11
19	12
20	15
21	16
22	1
23	2
24	3
25	7
26	8
27	9
28	10
29	13
30	14
31	1
32	3
32	4
33	5
33	6
34	7
35	9
35	10
36	12
37	15
38	2
39	8
40	11
41	16
42	1
43	3
44	7
45	10
45	14
46	13
47	4
48	5
48	6
49	11
49	12
50	15
51	16
52	1
53	2
54	3
55	7
56	8
57	9
58	10
59	13
60	14
61	17
62	19
62	20
63	21
63	22
64	23
65	25
65	26
66	28
67	31
68	18
69	24
70	27
71	32
72	17
73	19
74	23
75	26
75	30
76	29
77	20
78	21
78	22
79	27
79	28
80	31
81	32
82	17
83	18
84	19
85	23
86	24
87	25
88	26
89	29
90	30
91	17
92	19
92	20
93	21
93	22
94	23
95	25
95	26
96	28
97	31
98	18
99	24
100	27
101	32
102	17
103	19
104	23
105	26
105	30
106	29
107	20
108	21
108	22
109	27
109	28
110	31
111	32
112	17
113	18
114	19
115	23
116	24
117	25
118	26
119	29
120	30
121	1
122	3
122	4
123	5
123	6
124	7
125	9
125	10
126	12
127	15
128	2
129	8
130	11
131	16
132	1
133	3
134	7
135	10
135	14
136	13
137	4
138	5
138	6
139	11
139	12
140	15
141	16
142	1
143	2
144	3
145	7
146	8
147	9
148	10
149	13
150	14
151	1
152	3
152	4
153	5
153	6
154	7
155	9
155	10
156	12
157	15
158	2
159	8
160	11
161	16
162	1
163	3
164	7
165	10
165	14
166	13
167	4
168	5
168	6
169	11
169	12
170	15
171	16
172	1
173	2
174	3
175	7
176	8
177	9
178	10
179	13
180	14
181	17
182	19
182	20
183	21
183	22
184	23
185	25
185	26
186	28
187	31
188	18
189	24
190	27
191	32
192	17
193	19
194	23
195	26
195	30
196	29
197	20
198	21
198	22
199	27
199	28
200	31
201	32
202	17
203	18
204	19
205	23
206	24
207	25
208	26
209	29
210	30
211	17
212	19
212	20
213	21
213	22
214	23
215	25
215	26
216	28
217	31
218	18
219	24
220	27
221	32
222	17
223	19
224	23
225	26
225	30
226	29
227	20
228	21
228	22
229	27
229	28
230	31
231	32
232	17
233	18
234	19
235	23
236	24
237	25
238	26
239	29
240	30
