1	2	1	1	111
2	2	5	1	111
3	4	9	1	111
4	4	1	5	111
5	8	5	5	111
6	2	9	5	111
7	4	1	9	111
8	4	5	9	111
9	2	9	9	111
10	8	1	13	111
11	2	5	13	111
12	4	9	13	111
13	4	1	17	111
14	8	5	17	111
15	2	9	17	111
16	4	1	21	111
17	8	5	21	111
18	2	9	21	111
19	4	1	25	111
20	8	5	25	111
21	2	9	25	111
22	4	1	29	111
23	8	5	29	111
24	2	9	29	111
25	4	5	33	111
26	2	1	1	222
27	2	5	1	222
28	4	9	1	222
29	4	1	5	222
30	8	5	5	222
31	2	9	5	222
32	4	1	9	222
33	4	5	9	222
34	2	9	9	222
35	8	1	13	222
36	2	5	13	222
37	4	9	13	222
38	4	1	17	222
39	8	5	17	222
40	2	9	17	222
41	4	1	21	222
42	8	5	21	222
43	2	9	21	222
44	4	1	25	222
45	8	5	25	222
46	2	9	25	222
47	4	1	29	222
48	8	5	29	222
49	2	9	29	222
50	4	5	33	222
